
@corpus\AlbertoProenca.md	@corpus\AlbertoProenca.md	VERB	
que	que	PRON	
até	até	ADV	
as	o	DET	
galinhas	galinha	NOUN	
se	se	PRON	
fartavam	fartar	VERB	
e	e	CCONJ	
estragavam-se	estragavam-se	VERB	
pelo	por o	ADP	
meio	meio	NOUN	
do	de o	ADP	
chão	chão	NOUN	

Tinha	ter	VERB	
várias	várias	DET	
papeiras	papeira	NOUN	
por	por	ADP	
exemplo	exemplo	NOUN	
no	em o	ADP	
quintal	quintal	NOUN	
tinha	ter	VERB	
talvez	talvez	ADV	
um	um	NUM	
ou	ou	CCONJ	
dois	dois	NUM	
coqueiros	coqueiro	NOUN	
e	e	CCONJ	
mais	mais	ADV	
algumas	algum	DET	
árvores	árvore	NOUN	
que	que	PRON	
eu	eu	PRON	
não	não	ADV	
me	eu	PRON	
lembro	lembrar	VERB	

Algumas	algum	PRON	
lembro-me	lembro-me	VERB	
que	que	SCONJ	
tinham	ter	VERB	
uma	um	DET	
flôr	flôr	NOUN	
branca	branco	ADJ	
que	que	PRON	
era	ser	AUX	
muito	muito	ADV	
bonita	bonito	ADJ	

O	o	PRON	
que	que	PRON	
me	eu	PRON	
lembro	lembrar	VERB	
mais	mais	ADV	
das	de o	ADP	
árvores	árvore	NOUN	
era	ser	AUX	
que	que	SCONJ	
eu	eu	PRON	
gostava	gostar	VERB	
de	de	SCONJ	
andar	andar	VERB	
em	em	ADP	
cima	cima	NOUN	
delas	de elas	PRON	
e	e	CCONJ	
trepar	trepar	VERB	
por	por	ADP	
elas	ele	PRON	
e	e	CCONJ	
de	de	SCONJ	
estar	estar	AUX	
cá	cá	ADV	
em	em	ADP	
baixo	baixo	NOUN	
a	a	SCONJ	
brincar	brincar	VERB	

E	e	CCONJ	
as	o	DET	
casas	casa	NOUN	
dos	de o	ADP	
miúdos	miúdo	NOUN	
do	de o	ADP	
meu	meu	DET	
tempo	tempo	NOUN	
que	que	PRON	
eu	eu	PRON	
me	eu	PRON	
lembre	lembre	VERB	
eram	ser	AUX	
a	o	DET	
mesma	mesmo	ADJ	
coisa	coisa	NOUN	

A	o	DET	
primeira	primeiro	ADJ	
casa	casa	NOUN	
era	ser	AUX	
em	em	ADP	
Nampula	Nampula	PROPN	LOC
foi	ser	AUX	
a	o	DET	
casa	casa	NOUN	
onde	onde	PRON	
eu	eu	PRON	
vivi	viver	VERB	
até	até	ADP	
cerca	cerca	ADV	
dos	de o	ADP	
10	10	NUM	
anos	ano	NOUN	

Não	não	ADV	
tenho	ter	VERB	
noção	noção	NOUN	
da	de o	ADP	
dimensão	dimensão	NOUN	
dos	de o	ADP	
espaços	espaço	NOUN	
porque	porque	SCONJ	
uma	um	DET	
coisa	coisa	NOUN	
é	ser	AUX	
aquilo	aquilo	PRON	
que	que	PRON	
a	o	DET	
pessoa	pessoa	NOUN	
se	se	PRON	
lembra	lembrar	VERB	
enquanto	enquanto	ADV	
é	ser	AUX	
pequena	pequeno	ADJ	
em	em	ADP	
que	que	PRON	
tudo	tudo	PRON	
que	que	PRON	
é	ser	AUX	
espaço	espaço	NOUN	
é	ser	AUX	
grande	grande	ADJ	

Eu	eu	PRON	
saí	saí	VERB	
de	de	ADP	
lá	lá	ADV	
com	com	ADP	
10	10	NUM	
anos	ano	NOUN	
dá	dar	VERB	
ainda	ainda	ADV	
para	para	SCONJ	
poder	poder	VERB	
lembrar	lembrar	VERB	
como	como	ADV	
eram	ser	AUX	
as	o	DET	
